"Legacy source ID","Current source URL","Current product name","Current category","Current displayed price (SOURCE VALUE, RUB)","Current price unit (SOURCE VALUE)","Dimensions (SOURCE VALUE)","Current availability text (SOURCE VALUE)","Existing slug","SKU","Launch status","OWNER CONFIRMED PRICE","OWNER CONFIRMED PRICE UNIT","OWNER CONFIRMED SALE UNIT","OWNER CONFIRMED MIN QUANTITY","OWNER CONFIRMED QUANTITY STEP","OWNER CONFIRMED DIMENSIONS","OWNER CONFIRMED AVAILABILITY","OWNER CONFIRMED CATEGORY","Owner notes","OWNER CONFIRMED FEATURED","OWNER CONFIRMED AVAILABILITY DISPLAY","OWNER CONFIRMED PANEL SIZE CM","OWNER CONFIRMED PANEL AREA M2","ORDERABLE WHILE AVAILABILITY UNASSIGNED"
"554289383361","https://marmixflex.ru/tproduct/1706353951-554289383361-azur","Азур","Гибкий мрамор","2 000","за кв.м","","","azur","MF-MAR-0086","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"129758883201","https://marmixflex.ru/tproduct/1706353951-129758883201-anasteisha","Анастейша","Гибкий мрамор","2 000","за кв.м","","","anasteisha","MF-MAR-0010","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"892062776331","https://marmixflex.ru/tproduct/1706353951-892062776331-verde-antiko","Верде Антико","Гибкий мрамор","2 000","за кв.м","","","verde-antiko","MF-MAR-0151","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"255394538851","https://marmixflex.ru/tproduct/1706353951-255394538851-verde","Верде","Гибкий мрамор","2 000","за кв.м","","","verde","MF-MAR-0038","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"112874705051","https://marmixflex.ru/tproduct/1706353951-112874705051-verdelit","Верделит","Гибкий мрамор","2 000","за кв.м","","","verdelit","MF-MAR-0004","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"581415357271","https://marmixflex.ru/tproduct/1706353951-581415357271-vetka-sakuri","Ветка сакуры","Гибкий мрамор","2 000","за кв.м","","","vetka-sakuri","MF-MAR-0093","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"235679185721","https://marmixflex.ru/tproduct/1706353951-235679185721-sakura","Сакура","Гибкий мрамор","2 000","за кв.м","","","sakura","MF-MAR-0033","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"364527501651","https://marmixflex.ru/tproduct/1706353951-364527501651-vait-gold","Вайт Голд","Гибкий мрамор","2 000","за кв.м","","","vait-gold","MF-MAR-0061","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"729609253371","https://marmixflex.ru/tproduct/1706353951-729609253371-vait-dzheid","Вайт Джейд","Гибкий мрамор","2 000","за кв.м","","","vait-dzheid","MF-MAR-0124","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"653334556751","https://marmixflex.ru/tproduct/1706353951-653334556751-valetta","Валетта","Гибкий мрамор","2 000","за кв.м","","","valetta","MF-MAR-0106","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"639266239551","https://marmixflex.ru/tproduct/1706353951-639266239551-golden-braun","Голден Браун","Гибкий мрамор","2 000","за кв.м","","","golden-braun","MF-MAR-0103","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"793312804621","https://marmixflex.ru/tproduct/1706353951-793312804621-gridzhio-karnigo","Гриджио Карниго","Гибкий мрамор + Хит продаж","2 000","за кв.м","","","gridzhio-karnigo","MF-MAR-0132","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","YES","hidden until admin assignment","142 × 284","4.0328","NO"
"977407164861","https://marmixflex.ru/tproduct/1706353951-977407164861-byanka","Бьянка","Гибкий мрамор","2 000","за кв.м","","","byanka","MF-MAR-0161","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"103514265621","https://marmixflex.ru/tproduct/1706353951-103514265621-byanka-lasa","Бьянка Ласа","Гибкий мрамор","2 000","за кв.м","","","byanka-lasa","MF-MAR-0001","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
