"SKU","Product name","Category","Source product URL","Source media reference","Role","Primary candidate YES/NO","Product mapping status","Rights status","Production approved YES/NO","Alt fact candidate","Image count","Gallery position","Quality status","Real project confirmed","Notes","Rights/mapping gate cleared YES/NO"
"MF-MAR-0086","Азур","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-554289383361-azur","https://static.tildacdn.com/stor6630-3961-4934-b335-356663613332/43800746.png","product_primary","YES","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","«Азур» — товарное изображение; без неподтверждённых свойств","3","1","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил галерею source product page как intended media set этого SKU. Права подтверждены. Качество selected media требует отдельного визуального sign-off.","YES"
"MF-MAR-0086","Азур","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-554289383361-azur","https://static.tildacdn.com/stor3434-6663-4730-b163-393461326634/11270695.png","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Азур»","3","2","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0086","Азур","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-554289383361-azur","https://static.tildacdn.com/stor6563-3966-4530-b565-383034623936/34557235.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Азур»","3","3","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0010","Анастейша","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-129758883201-anasteisha","https://static.tildacdn.com/stor3862-6136-4636-b131-363834663139/21697930.png","product_primary","YES","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","«Анастейша» — товарное изображение; без неподтверждённых свойств","4","1","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил галерею source product page как intended media set этого SKU. Права подтверждены. Качество selected media требует отдельного визуального sign-off.","YES"
"MF-MAR-0010","Анастейша","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-129758883201-anasteisha","https://static.tildacdn.com/stor3763-3632-4662-b331-383564303161/81773455.png","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Анастейша»","4","2","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0010","Анастейша","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-129758883201-anasteisha","https://static.tildacdn.com/stor6663-3137-4438-b864-613464323265/42439058.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Анастейша»","4","3","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0010","Анастейша","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-129758883201-anasteisha","https://static.tildacdn.com/stor6439-6436-4232-a562-633863303666/46027629.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Анастейша»","4","4","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0151","Верде Антико","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-892062776331-verde-antiko","https://static.tildacdn.com/stor3638-6162-4164-a339-353464393236/91592313.png","product_primary","YES","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","«Верде Антико» — товарное изображение; без неподтверждённых свойств","5","1","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил галерею source product page как intended media set этого SKU. Права подтверждены. Качество selected media требует отдельного визуального sign-off.","YES"
"MF-MAR-0151","Верде Антико","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-892062776331-verde-antiko","https://static.tildacdn.com/stor3932-6539-4236-a265-386562623837/66729727.png","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Верде Антико»","5","2","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0151","Верде Антико","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-892062776331-verde-antiko","https://static.tildacdn.com/stor3733-6538-4835-a137-346261363138/83176124.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Верде Антико»","5","3","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0151","Верде Антико","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-892062776331-verde-antiko","https://static.tildacdn.com/stor6661-3830-4739-b563-653936366134/74335085.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Верде Антико»","5","4","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0151","Верде Антико","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-892062776331-verde-antiko","https://static.tildacdn.com/stor6330-6132-4336-b361-623265636235/86787762.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Верде Антико»","5","5","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0038","Верде","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-255394538851-verde","https://static.tildacdn.com/stor6631-3265-4661-b165-333234623832/97364629.png","product_primary","YES","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","«Верде» — товарное изображение; без неподтверждённых свойств","3","1","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил галерею source product page как intended media set этого SKU. Права подтверждены. Качество selected media требует отдельного визуального sign-off.","YES"
"MF-MAR-0038","Верде","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-255394538851-verde","https://static.tildacdn.com/stor6531-6563-4661-b439-663365376564/63382822.png","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Верде»","3","2","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0038","Верде","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-255394538851-verde","https://static.tildacdn.com/stor6563-6131-4162-a234-616230363763/19562053.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Верде»","3","3","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0004","Верделит","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-112874705051-verdelit","https://static.tildacdn.com/stor3838-6235-4763-a532-313333313139/47095120.png","product_primary","YES","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","«Верделит» — товарное изображение; без неподтверждённых свойств","5","1","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил галерею source product page как intended media set этого SKU. Права подтверждены. Качество selected media требует отдельного визуального sign-off.","YES"
"MF-MAR-0004","Верделит","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-112874705051-verdelit","https://static.tildacdn.com/stor6432-6231-4231-a231-313730313432/32160144.png","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Верделит»","5","2","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0004","Верделит","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-112874705051-verdelit","https://static.tildacdn.com/stor3466-6334-4365-a432-666235626238/86955371.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Верделит»","5","3","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0004","Верделит","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-112874705051-verdelit","https://static.tildacdn.com/stor6466-3232-4666-b432-316365643165/89617662.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Верделит»","5","4","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0004","Верделит","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-112874705051-verdelit","https://static.tildacdn.com/stor3932-6562-4732-b232-363432323666/51467251.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Верделит»","5","5","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0093","Ветка сакуры","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-581415357271-vetka-sakuri","https://static.tildacdn.com/stor6436-6134-4666-b731-646230303934/88423171.png","product_primary","YES","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","«Ветка сакуры» — товарное изображение; без неподтверждённых свойств","4","1","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил галерею source product page как intended media set этого SKU. Права подтверждены. Качество selected media требует отдельного визуального sign-off.","YES"
"MF-MAR-0093","Ветка сакуры","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-581415357271-vetka-sakuri","https://static.tildacdn.com/stor6233-3032-4464-b431-393531653332/37405335.png","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Ветка сакуры»","4","2","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0093","Ветка сакуры","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-581415357271-vetka-sakuri","https://static.tildacdn.com/stor3164-3233-4536-b439-633962373131/37189591.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Ветка сакуры»","4","3","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
"MF-MAR-0093","Ветка сакуры","Гибкий мрамор","https://marmixflex.ru/tproduct/1706353951-581415357271-vetka-sakuri","https://static.tildacdn.com/stor3438-3735-4733-b430-323030393766/75169863.jpg","product_detail","NO","OWNER CONFIRMED — this source product page gallery is the intended media set for this SKU","OWNER CONFIRMED RIGHT","NO","Деталь товара «Ветка сакуры»","4","4","OWNER REVIEW REQUIRED — review selected unique asset once before production","NOT APPLICABLE — product-gallery media; no installation authorship claim","Владелец подтвердил принадлежность кадра gallery этого SKU. Дополнительный товарный кадр классифицирован как product_detail. Права подтверждены; quality sign-off остаётся отдельным.","YES"
